# HK-47 pack wiring, decided with Master. One row per output clip.
#
# Build rule (set 2026-09-09): every clip is qualifier-first. The spoken
# qualifier segment leads, the source's own pause follows, then the sentence.
# Segments come from hk47-gaps.tsv (silencedetect, -38dB, >=0.20s).
#
# op      meaning
# whole   use the clip unchanged
# cut     keep a single span A-B
# splice  join span A-B to span C-D, restoring a pause between them
# graft   join a span from ANOTHER clip to a span of this one (rule exception)
#
# In a span list, ~D is D seconds of explicit silence rather than audio, for
# where a word is excised and neither the source's own pause nor the 0.45s
# fallback is the right length. Fence it with | on both sides: A-B|~0.30|C-D.
#
# category	resref	op	spans	seconds	label
session.start	nm35aahhkd07000_	whole	-	3.63	Statement: HK-47 is ready to serve, master.
session.start	nm35aahhkd07360_	whole	-	5.46	Affirmation: HK-47 exists only to serve, master.
session.start	nm17ac08hk01006_	splice	0.00-0.63+7.49-10.62	4.1	Statement: My gears are practically quivering with anticipation.
session.start	nm17ac08hk01042_	splice	0.00-1.22+6.76-8.31	3.0	Extrapolation: We will mesh well.
session.start	nm17ac08hk01038_	splice	0.00-0.99+4.53-8.04	4.7	Assurance: I will grant loyal service in exchange for proper maintenance.
session.resume	nm35aahhkd07367_	cut	0.00-4.95	4.95	Access complete: I have recovered the last of my deleted memory, master.
session.resume	nm35aahhkd07254_	splice	0.00-0.67+3.33-5.24	2.8	Observation: This is a most pleasing memory, master.
session.resume	nm35aahhkd07254_	splice	0.00-0.67+5.46-6.67	2.2	Observation: Thank you for recovering it.
session.end	nm35aahhkd07431_	graft	nm35aahhkd07096_:0.00-0.96+0.00-3.08	4.1	Resignation: As you desire, master. Signing off.
session.end	nm35aahhkd07423_	whole	-	6.11	As you desire, master. I cannot help but claim a small amount of relief. Signing off.
session.end	nm35aahhkd07264_	graft	nm35aahhkd07433_:0.00-0.60+0.00-1.99	3.04	Statement: For now, please excuse me, master.
session.end	nm35aahhkd07404_	graft	nm35aahhkd07433_:0.00-0.60+0.00-3.98	5.03	Statement: Beyond that, master, there is nothing more I can relate to you.
session.end	nm35aahhkd07067_	graft	nm35aahhkd07433_:0.00-0.60+2.09-4.35	3.31	Statement: Obeying original command. Signing off.
session.idle	nm35aahhkd07065_	whole	-	3.08	Observation: Organics have no sense of persistence.
