# NOTICE: the text column is dialogue from Star Wars: Knights of the Old
# Republic, which is the property of BioWare and Lucasfilm. It is recorded
# here as metadata so the tooling can locate and cut audio you already own.
# No audio ships with this repository and none ever should.
# resref	seconds	silences(start-end, -38dB >=0.20s)	text
nglobehhkd07556_	4.58	0.88-1.31;2.77-3.01	Statement: Well done, master. You're my kind of owner!
nglobehhkd07558_	4.5	0.61-1.08	Statement: Oh, master. I'm so very disappointed in you.
nm17ac08hk01000_	5.6	0.75-1.22	Statement: I see you have purchased me, master. I find this a satisfactory arrangement.
nm17ac08hk01002_	6.96	3.39-3.64;5.12-5.37	My restraining bolt will be deactivated when you take possession of me. Am I to accompany you now? Shall I kill something for you?
nm17ac08hk01004_	7.63	0.51-1.12;1.71-1.98;5.34-5.56	Answer: Indeed. I am most eager to engage in some unadulterated violence. At your command, of course, master.
nm17ac08hk01006_	10.62	0.63-0.97;6.95-7.49	Statement: I will enter into your service now, master. I am certain you will make adequate use of my primary functions. My gears are practically quivering with anticipation.
nm17ac08hk01009_	7.04	0.64-1.15	Statement: I will await your further orders there, master. We will have to discuss how my primary functions may best serve you.
nm17ac08hk01012_	8.51	0.86-1.17;1.27-1.51;7.41-7.62	Objection: This is less than ideal, master. I gather unwanted attention while here, and my primary functions go unused!
nm17ac08hk01014_	8.08	0.17-0.48;0.48-0.87;2.53-3.07	But... I shall wait, as you command. Do not blame me if the Ithorian absconds with all my most valuable components while you are away, however.
nm17ac08hk01016_	12.25	0.66-0.87;3.10-3.34;6.43-6.75	Greeting: Hello to you, prospective purchaser. I am referred to as HK-47, a fully functional Systech Corporation droid skilled in both combat and protocol functions.
nm17ac08hk01018_	8.08	0.43-1.01;4.57-5.14	Query: Would you be so kind as to purchase this model from Yuka Laka? It would serve my purposes to be removed from his ownership.
nm17ac08hk01020_	7.01	0.73-1.25	Refusal: It is not desirable for me to reveal core functions while still in the possession of Yuka Laka, prospective purchaser.
nm17ac08hk01022_	9.77	5.50-5.99;7.97-8.51	It is sufficient to say that I am a fully capable translator and cultural analyst, and I am also proficient in... personal combat.
nm17ac08hk01024_	9.88	1.03-1.67;5.35-5.62	Explanation: I have been recently fitted with a restraining bolt, if you must know. With it in place, access to much of my memory core is restricted.
nm17ac08hk01028_	10.82	2.19-2.55;3.02-3.23;9.26-9.68	I am not dangerous, you bucket of bolts! Ahem! That is... a restraining bolt is standard procedure, to prevent a droid from wandering off, as you should know.
nm17ac08hk01030_	9.63	4.50-4.77;6.84-7.14	Not to mention that the fool Ithorian might raise his asking price if he knew more... or make inquiries into my history. Neither outcome is beneficial to me.
nm17ac08hk01032_	7.39	0.68-0.93;1.52-1.74	Statement: Indeed. It is possible that the Ithorian placed the restraining bolt on me to prevent my return to a previous owner.
nm17ac08hk01034_	9.46		It is also possible that the removal of the bolt will not restore memory functions. Without my memory, I do not know if I know the answer.
nm17ac08hk01036_	6.73	3.26-3.59	Do not interpret this as a reduction of my worth, however. My capabilities are quite expansive.
nm17ac08hk01038_	8.04	0.99-1.23;4.28-4.53	Assurance: I am fully autonomous, but lack resources. I will grant loyal service in exchange for proper maintenance.
nm17ac08hk01040_	7.37	0.59-0.84;4.28-4.58	As well, it is rare that I am able to utilize my full array of abilities. You seem likely to give me the opportunity to do so.
nm17ac08hk01042_	8.31	1.22-1.63;3.55-3.83;6.48-6.76	Extrapolation: You are no farmer or diplomat. You are armed, and comfortable as such. We will mesh well.
nm17ac08hk01044_	9.73	0.73-0.95;7.14-7.40	Objection: My functions are wasted here, prospective purchaser! I will answer your queries, but I assure you I am better utilized elsewhere.
nm17ac08hk01046_	9.67	0.67-0.93	Statement: The fool Ithorian has decided I am to be an expensive purchase. He does this out of greed and not out of knowledge of my true capabilities.
nm17ac08hk01048_	8.13	0.86-1.18;2.33-2.66;6.07-6.39	Advisement: I have observed him. He is a coward, and will be responsive to... aggressive bargaining.
nm17ac08hk01050_	8.65	0.81-1.08;6.60-6.84	Statement: I wish only to be purchased and away from ill-treatment at the hands of this poorly-skilled mechanic. I have no desire to be subtle.
nm17ac08hk01054_	6.92	0.94-1.15	Qualification: Err... of course I shall be quite pleasant to you, should you purchase me. Please?
nm17ac08hk01057_	4.76	0.94-1.31	Explanation: It's rare for a droid to resist an owner in this way.
nm17ac08hk01059_	7.33		Doubtless the Ithorian considers my stubbornness an "embellishment" to add interest to a seemingly mundane protocol droid.
nm17ac08hk01061_	6.49		Disclosure: I am a versatile protocol and combat droid, fluent in verbal and cultural translation.
nm17ac08hk01063_	6.06	1.73-1.93;2.66-2.90	Should your needs prove more... practical, I am also skilled in highly personal combat.
nm17ac08hk01065_	8.58	1.24-1.46;3.76-4.01	Extrapolation: Intuitive language comprehension? That would be the result of recognition and training of Force sensitivity.
nm17ac08hk01067_	9.35		Your kind have little use of translation droids. Of course, your kind also encounters danger on a far more frequent basis than the average citizen.
nm17ac08hk01069_	6.75	4.78-5.01	You would do well to have me work for you, then, before someone else makes use of my... more exotic functions.
nm17ac08hk01071_	8.85	0.73-1.00;1.83-2.06;6.53-6.76	Disclosure: Finesse. Battle droids hold battlefields. I am capable of eliminating a very... specific type of target.
nm17ac08hk01073_	7.97	0.83-1.18	Retraction: Droids built for such a function face strict regulation and often have unique difficulties with previous owners.
