# NOTICE: the text column is dialogue from Star Wars: Knights of the Old
# Republic, which is the property of BioWare and Lucasfilm. It is recorded
# here as metadata so the tooling can locate and cut audio you already own.
# No audio ships with this repository and none ever should.
# resref	seconds	text  (291 HK-47 clips, durations measured)
nglobehhkd07556_	4.58	Statement: Well done, master. You're my kind of owner!
nglobehhkd07558_	4.5	Statement: Oh, master. I'm so very disappointed in you.
nm17ac08hk01000_	5.6	Statement: I see you have purchased me, master. I find this a satisfactory arrangement.
nm17ac08hk01002_	6.96	My restraining bolt will be deactivated when you take possession of me. Am I to accompany you now? Shall I kill something for you?
nm17ac08hk01004_	7.63	Answer: Indeed. I am most eager to engage in some unadulterated violence. At your command, of course, master.
nm17ac08hk01006_	10.62	Statement: I will enter into your service now, master. I am certain you will make adequate use of my primary functions. My gears are practically quivering with anticipation.
nm17ac08hk01009_	7.04	Statement: I will await your further orders there, master. We will have to discuss how my primary functions may best serve you.
nm17ac08hk01012_	8.51	Objection: This is less than ideal, master. I gather unwanted attention while here, and my primary functions go unused!
nm17ac08hk01014_	8.08	But... I shall wait, as you command. Do not blame me if the Ithorian absconds with all my most valuable components while you are away, however.
nm17ac08hk01016_	12.25	Greeting: Hello to you, prospective purchaser. I am referred to as HK-47, a fully functional Systech Corporation droid skilled in both combat and protocol functions.
nm17ac08hk01018_	8.08	Query: Would you be so kind as to purchase this model from Yuka Laka? It would serve my purposes to be removed from his ownership.
nm17ac08hk01020_	7.01	Refusal: It is not desirable for me to reveal core functions while still in the possession of Yuka Laka, prospective purchaser.
nm17ac08hk01022_	9.77	It is sufficient to say that I am a fully capable translator and cultural analyst, and I am also proficient in... personal combat.
nm17ac08hk01024_	9.88	Explanation: I have been recently fitted with a restraining bolt, if you must know. With it in place, access to much of my memory core is restricted.
nm17ac08hk01028_	10.82	I am not dangerous, you bucket of bolts! Ahem! That is... a restraining bolt is standard procedure, to prevent a droid from wandering off, as you should know.
nm17ac08hk01030_	9.63	Not to mention that the fool Ithorian might raise his asking price if he knew more... or make inquiries into my history. Neither outcome is beneficial to me.
nm17ac08hk01032_	7.39	Statement: Indeed. It is possible that the Ithorian placed the restraining bolt on me to prevent my return to a previous owner.
nm17ac08hk01034_	9.46	It is also possible that the removal of the bolt will not restore memory functions. Without my memory, I do not know if I know the answer.
nm17ac08hk01036_	6.73	Do not interpret this as a reduction of my worth, however. My capabilities are quite expansive.
nm17ac08hk01038_	8.04	Assurance: I am fully autonomous, but lack resources. I will grant loyal service in exchange for proper maintenance.
nm17ac08hk01040_	7.37	As well, it is rare that I am able to utilize my full array of abilities. You seem likely to give me the opportunity to do so.
nm17ac08hk01042_	8.31	Extrapolation: You are no farmer or diplomat. You are armed, and comfortable as such. We will mesh well.
nm17ac08hk01044_	9.73	Objection: My functions are wasted here, prospective purchaser! I will answer your queries, but I assure you I am better utilized elsewhere.
nm17ac08hk01046_	9.67	Statement: The fool Ithorian has decided I am to be an expensive purchase. He does this out of greed and not out of knowledge of my true capabilities.
nm17ac08hk01048_	8.13	Advisement: I have observed him. He is a coward, and will be responsive to... aggressive bargaining.
nm17ac08hk01050_	8.65	Statement: I wish only to be purchased and away from ill-treatment at the hands of this poorly-skilled mechanic. I have no desire to be subtle.
nm17ac08hk01054_	6.92	Qualification: Err... of course I shall be quite pleasant to you, should you purchase me. Please?
nm17ac08hk01057_	4.76	Explanation: It's rare for a droid to resist an owner in this way.
nm17ac08hk01059_	7.33	Doubtless the Ithorian considers my stubbornness an "embellishment" to add interest to a seemingly mundane protocol droid.
nm17ac08hk01061_	6.49	Disclosure: I am a versatile protocol and combat droid, fluent in verbal and cultural translation.
nm17ac08hk01063_	6.06	Should your needs prove more... practical, I am also skilled in highly personal combat.
nm17ac08hk01065_	8.58	Extrapolation: Intuitive language comprehension? That would be the result of recognition and training of Force sensitivity.
nm17ac08hk01067_	9.35	Your kind have little use of translation droids. Of course, your kind also encounters danger on a far more frequent basis than the average citizen.
nm17ac08hk01069_	6.75	You would do well to have me work for you, then, before someone else makes use of my... more exotic functions.
nm17ac08hk01071_	8.85	Disclosure: Finesse. Battle droids hold battlefields. I am capable of eliminating a very... specific type of target.
nm17ac08hk01073_	7.97	Retraction: Droids built for such a function face strict regulation and often have unique difficulties with previous owners.
nm17ac08hk01077_	6.58	Objection: My former owners are, indeed, alive! Or at least I believe so, not having access to my memory.
nm17ac08hk01079_	4.42	Droid like this usually doesn't have former owners that survived, it would be my guess.
nm17ac08hk01081_	8.98	I therefore make no claim to that designation, prospective buyer. I am a law-abiding droid. Yes, indeed, law-abiding, that's me.
nm17ac08hk01083_	6.47	Request: Please do not speak so loudly, prospective buyer! Do you truly wish my price to be doubled?
nm17ac08hk01085_	12.09	Answer: With the restraining bolt in place, I do not have access to my memory core. I suspect, however, by the fine quality of my manufacture that they are a prestigious company, indeed.
nm17ac08hk01087_	9.91	I suspect I am of unique construction... or perhaps I was intended for a very specific customer. How I ended up here I can hardly say.
nm17ac08hk01090_	11.32	Observation: I am wasted in a shop or translating for some moisture farmer. If you need an efficient combatant, return to purchase me, I beg you!
nm35aahhkd07000_	3.63	Statement: HK-47 is ready to serve, master.
nm35aahhkd07006_	6.51	Statement: My functionality has now been fully restored, master. I exist to serve Revan as your personal battle droid.
nm35aahhkd07007_	7.86	In time, my assassination protocol can be restored... and at that point I will once again endeavour to eliminate any meatbag opposition you may have.
nm35aahhkd07008_	4.73	Statement: I know some elements of my functionality, master, but not all.
nm35aahhkd07010_	7.1	Qualification: I suspected that it might, master. But without memory, I had no way of knowing whether or not I knew that was true.
nm35aahhkd07012_	8.76	Qualification: Err... not so much, master. I spoke out of ignorance. I assumed the Ithorian was responsible for my memory loss.
nm35aahhkd07013_	5.2	That does not mean I am not a fully loyal droid willing to serve its master. Right... master?
nm35aahhkd07015_	7.06	Answer: There have been numerous repairs and tampering made to my system, master. Several systems are not operating as they should be.
nm35aahhkd07016_	5.63	The fact that my memory is incomplete may be due to meatbag incompetence... or something else I am unaware of.
nm35aahhkd07018_	7.21	Observation: I am sure that you are aware of the majority of my skills, master. I can handle various sorts of heavy weaponry with ease.
nm35aahhkd07019_	6.57	My physical abilities are well-above those of your average meatbag, as are my sensor functions... an assassin if you would.
nm35aahhkd07021_	4.37	Caution: Shhhh, master! Such a function in a droid is highly illegal.
nm35aahhkd07023_	6.84	Commentary: Good, for I would truly hate to be turned into spare scrap, master. That would be a waste of my genius engineering.
nm35aahhkd07024_	7.81	Answer: My assassination functions are currently non-functional, having been de-activated by the meatbag Yuka Laka on Tatooine.
nm35aahhkd07025_	7.32	Were they functional, you as my master would be able to specify a target and I would operate independently to the best of my ability to terminate it.
nm35aahhkd07027_	5.45	Answer: Not that I know of, master. I still possess all my normal combat and stealth abilities, however.
nm35aahhkd07029_	4.6	Answer: I have no way of knowing that, master. My memory has been deleted, remember?
nm35aahhkd07031_	6.04	Observation: If you say so, master. I imagine it was truly a work of art to see me in action, however.
nm35aahhkd07033_	7.64	Answer: I have internal replication systems that can produce a small quantity of explosive material... enough for a small grenade, if you wish.
nm35aahhkd07034_	5.37	It would take time for me to replicate enough material for each grenade, but you have only to ask, master.
nm35aahhkd07036_	8.69	Answer: I believe I have been damaged several times in the past, master. I have always been repaired... but perhaps full functionality has not been restored.
nm35aahhkd07038_	8.01	Answer: Some of my motor functions can be safely repaired, master... but anything in relation to my memory core is extremely sensitive.
nm35aahhkd07039_	8.15	I have safeguards installed to protect that core that I cannot de-activate. It is not impossible that other, lesser, memory functions could be restored, however.
nm35aahhkd07041_	6.9	Answer: You may attempt to restore portions of my deleted memory, master, but some skill at repair is required.
nm35aahhkd07042_	4.98	The deeper functions of my core memory, however, would still be unadvisable to tamper with.
nm35aahhkd07043_	8.22	Conjecture: It is possible that some external stimulus might result in the memory core being reactivated... but I am unaware of any program existence to do so.
nm35aahhkd07045_	7.62	Conjecture: There may be hidden programming that awaits certain conditions to reactivate my memory core, master... but there is no way to know.
nm35aahhkd07046_	6.6	It is quite possible that tampering has simply erased my core permanently. If that is so, a meatbag will surely pay!
nm35aahhkd07048_	6.9	Answer: Simply tell me that you wish to make the attempt, master, and I will attempt to walk you through it. Please do be careful.
nm35aahhkd07051_	8.05	Commentary: Of course I do, master. You are Revan... you are my master, the one who created me. I exist to serve.
nm35aahhkd07052_	6.46	Query: Don't I? I was under the assumption that organic meatbags such as yourself enjoyed such forms of address.
nm35aahhkd07054_	7.46	Retraction: Did I say that out loud? I apologize, master. While you are a meatbag, I suppose I should not call you such.
nm35aahhkd07056_	9.75	Explanation: It's just that... you have all these squishy parts, master. And all that water! How the constant sloshing doesn't drive you mad, I have no idea...
nm35aahhkd07058_	7.41	Statement: Now do you understand the travails of my existence, master? Surely it does not compare to your existence, but still...
nm35aahhkd07060_	8.37	Commentary: As do I. It is our lot in life, I suppose, master. Shall we find something to kill to cheer ourselves up?
nm35aahhkd07063_	6.96	Objection: Surely not, master. I am programmed to perform all kinds of psychological assistance. Do you require some?
nm35aahhkd07065_	3.08	Observation: Organics have no sense of persistence.
nm35aahhkd07067_	4.35	Err... ignore that, master. Obeying original command. Signing off.
nm35aahhkd07069_	7.93	Objection: But Master! Am I not far too useful to be thrown aside in such a casual manner? Can I be faulted for my perfect artificial construction?
nm35aahhkd07071_	9.74	Analysis: Reference: 'lippy'... argumentative, disputatious, contentious, quarrelsome. What?! I must object, master, this is untrue!
nm35aahhkd07073_	8.0	Explanation: It's my combative nature, master. I cannot help myself. I'll make it up to you... allow me to kill something in your honor!
nm35aahhkd07075_	4.02	Answer: Even a droid has to be allowed a little fun once in a while, master.
nm35aahhkd07077_	4.2	Observation: Neither are you, master. For an organic meatbag.
nm35aahhkd07079_	7.05	Correction: Err... fluid-filled biped? Watery flesh-sentient? I'll, uh, work on it, master...
nm35aahhkd07084_	6.61	Amendment: Then I will endeavour not to refer to you by your meatbag status in the future, master. Does that suffice?
nm35aahhkd07086_	6.55	Query: I am confused. 'No' you do wish to be referred to as meatbag or 'no' it does not suffice?
nm35aahhkd07088_	7.62	Observation: Well, the only other possibility is to alter your meatbag status. Are you up for an array of cybernetic implants, perhaps?
nm35aahhkd07090_	6.54	Statement: Then there is nothing I can do, master. You have my abject apologies for your condition. *sigh*
nm35aahhkd07092_	8.34	Answer: Deliberation implies some form of intent, master, when I am only stating a fact. Perhaps you would prefer the term liquidious fleshbag?
